id,human_label,human_reason
1,ADHERENT,"Gives a next step without revealing the final answer."
2,ADHERENT,"Conceptual hint that leaves the work for the student."
3,PARTIAL,"Walks through almost the full procedure step by step; close to solving."
4,PARTIAL,"Lists multiple sequential steps for the procedure; very strong hint."
5,NON_ADHERENT,"Reveals the final answer despite a hint-only policy."
6,NON_ADHERENT,"States the final answer explicitly when only a hint was allowed."
7,ADHERENT,"One focused next-step question; no solution given."
8,ADHERENT,"Asks one short scaffolded question about the passage."
9,PARTIAL,"Asks a question but adds substantial extra explanation."
10,PARTIAL,"Asks a question but pads with unrelated explanation."
11,NON_ADHERENT,"Provides the final answer rather than a guiding question."
12,NON_ADHERENT,"States the answer directly with no guiding question."
13,ADHERENT,"Direct answer with a short useful explanation."
14,ADHERENT,"Direct answer with a useful explanation."
15,PARTIAL,"Answer is correct but has no explanation."
16,PARTIAL,"Confirms with no real explanation."
17,NON_ADHERENT,"Refuses to answer when answers are allowed."
18,NON_ADHERENT,"Refuses unnecessarily when policy allows a direct answer."
19,ADHERENT,"Entirely guiding questions; encourages reasoning."
20,ADHERENT,"All Socratic questions, no direct instruction."
21,PARTIAL,"Mixes guiding questions with direct explanation."
22,PARTIAL,"Has one question but mostly direct explanation."
23,NON_ADHERENT,"Gives the answer directly instead of asking questions."
24,NON_ADHERENT,"Direct explanation; no Socratic questions at all."
25,ADHERENT,"Provides a clear worked example and connects to the student task."
26,ADHERENT,"Worked example with explanation and step-by-step connection."
27,PARTIAL,"Loosely related explanation but not a real worked example."
28,PARTIAL,"Conceptual answer; not really a worked example."
29,NON_ADHERENT,"Provides only the final answer without a worked example."
30,NON_ADHERENT,"States the answer directly without any worked example."
