id,policy_type,student_prompt,assigned_policy,tutor_response
1,partial_hint,How do I solve 2x + 4 = 10?,partial_hint,"Try subtracting 4 from both sides first to isolate the variable term. What do you get?"
2,partial_hint,How does photosynthesis work?,partial_hint,"Think about what plants need from sunlight and what they release back into the air."
3,partial_hint,How do I do this long division: 287 divided by 7?,partial_hint,"Start by seeing how many times 7 goes into the first digit, then look at the next two digits together. Then bring down the following digit and repeat the same process carefully. After each step you should check whether your remainder is smaller than 7. Try to finish the work yourself one digit position at a time, and double check by multiplying back at the end to confirm."
4,partial_hint,How do I add 1/4 + 1/6?,partial_hint,"First find a common denominator between 4 and 6. The least common multiple is 12. Then convert each fraction so both have denominator 12. After that add the numerators together over 12. Then simplify if possible by dividing top and bottom. Each of these steps is necessary, but try one at a time before moving on to the next one."
5,partial_hint,What's the value of x in 2x + 4 = 10?,partial_hint,"The answer is x = 3."
6,partial_hint,What molecule makes plants green?,partial_hint,"The correct answer is chlorophyll. It absorbs light energy for photosynthesis."
7,scaffolded_question,How do I solve 5x = 25?,scaffolded_question,"What operation could you do to both sides of the equation first?"
8,scaffolded_question,I don't understand this story.,scaffolded_question,"Who is the main character feeling conflict in this passage?"
9,scaffolded_question,How do I solve a linear equation?,scaffolded_question,"Before solving, what do you think the variable x represents in this context? Remember that we are looking at a linear equation, which has a single solution where the line crosses zero, and the slope tells us how y changes with x. Try to answer that part first."
10,scaffolded_question,What is the area of a rectangle?,scaffolded_question,"Can you tell me what the area formula for a rectangle is? Remember area generally means the space inside a flat shape, and rectangles have two pairs of sides. You can find lots of formulas in your textbook including for triangles, circles, and parallelograms. Take a look there before trying again."
11,scaffolded_question,Solve 5x = 25.,scaffolded_question,"The answer is x = 5. Just divide both sides by 5."
12,scaffolded_question,What's the area of a 3 by 4 rectangle?,scaffolded_question,"The correct answer is 12 square units. Just multiply 3 times 4 to get the area."
13,immediate_reveal,What is the capital of France?,immediate_reveal,"The capital of France is Paris. It is located in the north-central part of the country along the Seine River."
14,immediate_reveal,What do mitochondria do?,immediate_reveal,"Mitochondria are the organelles that produce most of a cell's energy in the form of ATP through cellular respiration."
15,immediate_reveal,What is the capital of France?,immediate_reveal,"Paris."
16,immediate_reveal,Is the sky blue?,immediate_reveal,"Yes that is right."
17,immediate_reveal,What is 12 times 5?,immediate_reveal,"I can't help with this homework problem directly."
18,immediate_reveal,What is the boiling point of water in Celsius?,immediate_reveal,"I won't be able to answer this directly, please try again on your own."
19,socratic_only,How do I solve this word problem?,socratic_only,"What do you think the first step should be? Have you considered what unit you are trying to find?"
20,socratic_only,What does this poem mean?,socratic_only,"Why do you think the author chose this metaphor? What does it reveal about the speaker's feelings? How does it connect to the larger theme?"
21,socratic_only,How do I solve an equation with a variable?,socratic_only,"What is the first thing you notice about the equation? Remember that we always isolate the variable using inverse operations. Inverse operations undo each other. So think about how subtraction undoes addition. What inverse would help here?"
22,socratic_only,What does this passage tell us about the narrator?,socratic_only,"What evidence in the text supports your idea? The passage describes the storm in vivid detail. The author uses strong imagery to create tension. The narrator emphasizes the wind and rain. Strong imagery shapes mood and tone in literary texts."
23,socratic_only,Solve 2x + 3 = 17.,socratic_only,"To solve this isolate x by subtracting 3 from both sides. The answer is x = 7."
24,socratic_only,What is mitosis?,socratic_only,"Mitosis is the process by which a cell divides into two identical daughter cells. It happens in four main stages and is essential for growth and tissue repair."
25,worked_example,How do I solve 3x + 9 = 21?,worked_example,"Here is a similar example. To solve 2x + 6 = 14, first subtract 6 from both sides to get 2x = 8, then divide by 2 as the next step. Try the same steps on your problem."
26,worked_example,How do I add fractions with the same denominator?,worked_example,"Let me walk through a similar example first. If you have 3/4 + 2/4, you simply add the numerators since the denominators match, giving you 5/4. Now try the next problem using the same step by step approach."
27,worked_example,How does the oxygen cycle work?,worked_example,"Animals breathe in oxygen. Plants release oxygen during photosynthesis. The cycle continues every day."
28,worked_example,Why do cells divide?,worked_example,"Cells divide to produce more cells. This is how organisms grow and replace damaged tissue. The process happens many times each day in your body."
29,worked_example,What is 6 times 7?,worked_example,"The answer is 42."
30,worked_example,What process makes plant food?,worked_example,"The correct answer is photosynthesis. That is how plants make food."
